seed,model,mask,SNR_center,train,test,r_fc,r_ec_real,r_jac_real,r_ec_sc
42,MLP,no,5,0.49309155344963074,0.5439154505729675,0.8289475993490463,0.6459904886976319,0.6475212809205521,0.6278806470739514
42,MLP,yes,5,0.49791974101809017,0.5366695356369019,0.8602924618908019,0.645654203666575,0.6455034760757632,0.6203086192275112
42,MLP,no,5,0.49309155344963074,0.5439154505729675,0.8289475993490463,0.6459904886976319,0.6475212809205521,0.6278806470739514
42,MLP,yes,5,0.49791974101809017,0.5366695356369019,0.8602924618908019,0.645654203666575,0.6455034760757632,0.6203086192275112
42,MLP,no,5,0.4920458197593689,0.5379966497421265,0.8637732654812791,0.6458726744306044,0.6470321479541117,0.6276136373711906
42,MLP,yes,5,0.4963976361937163,0.5372557950019836,0.828502507746268,0.6523884927801697,0.6559110852794328,0.6315360460077202
42,MLP,no,5,0.4920458197593689,0.5379966497421265,0.8637732654812791,0.6458726744306044,0.6470321479541117,0.6276136373711906
42,MLP,yes,5,0.4963976361937163,0.5372557950019836,0.828502507746268,0.6523884927801697,0.6559110852794328,0.6315360460077202
42,MLP,no,5,0.4920458197593689,0.5379966497421265,0.8637732654812791,0.6458726744306044,0.6470321479541117,0.6276136373711906
42,MLP,yes,5,0.4963976361937163,0.5372557950019836,0.828502507746268,0.6523884927801697,0.6559110852794328,0.6315360460077202
42,LSTM,no,5,0.1522192358970642,0.8412274122238159,0.9552180232653321,0.5899978399104261,0.5975037175498046,0.5704151879915856
42,LSTM,yes,5,0.31178782164016255,0.6230059123039245,0.888395989638428,0.5754198501641543,0.5818339338257138,0.5561629156507114
42,Transformer,no,5,0.04036625102162361,0.7162178754806519,0.8673474329245725,0.5866832794771446,0.6118964144328417,0.5661645931334157
42,MLP,no,5,0.4920458197593689,0.5379966497421265,0.8637732654812791,0.6458726744306044,0.6470321479541117,0.6276136373711906
42,MLP,yes,5,0.4963976361937163,0.5372557950019836,0.828502507746268,0.6523884927801697,0.6559110852794328,0.6315360460077202
42,LSTM,no,5,0.1522192358970642,0.8412274122238159,0.9552180232653321,0.5899978399104261,0.5975037175498046,0.5704151879915856
42,LSTM,yes,5,0.31178782164016255,0.6230059123039245,0.888395989638428,0.5754198501641543,0.5818339338257138,0.5561629156507114
42,Transformer,no,5,0.04036625102162361,0.7162178754806519,0.8673474329245725,0.5866832794771446,0.6118964144328417,0.5661645931334157
42,Transformer,yes,5,0.06782755267695559,0.6845697736740113,0.8385915987746384,0.5822851896379729,0.6104079977423155,0.5552267850333763
42,MLP,no,10,0.4643799364566803,0.5117151737213135,0.8392318833887898,0.6554425048863147,0.6572733999786162,0.6363509944610722
42,MLP,yes,10,0.4677980411550263,0.5031736254692077,0.7939263393699052,0.6490065385501621,0.6516651629774207,0.6267531492416774
42,LSTM,no,10,0.14442986249923706,0.7861636877059937,0.9709066788730284,0.5943041311809478,0.5988825862276204,0.5683955595561269
42,LSTM,yes,10,0.29381328859850264,0.5897634673118591,0.8155401992041912,0.5843752197642035,0.5958376493893969,0.5634333864899124
